REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-01-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,136.8,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.5,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.4,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,95.8,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.6,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,158.6,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,149.7,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.4,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,152.9,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.7,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,97.4,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.8,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,156.6,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,150.8,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,136.6,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,152.8,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.5,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,99,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.6,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,140.6,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.1,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,135.7,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,154,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.2,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.7,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,128.3,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.1,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,136.1,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,154.3,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,145.6,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,91.5,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.4,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,137,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.1,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.2,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,154.8,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.4,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,92.4,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.3,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,146.2,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.6,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.2,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,155,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.4,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,92.1,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.8,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.7,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.5,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.8,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.8,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.5,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,129.6,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.3,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.6,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,136.9,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,152.6,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,147.3,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,94.5,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,129.8,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.8,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.5,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.5,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.3,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,148.3,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,95.4,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,130.2,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.4,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.9,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.7,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.9,NA,NA,NA,1
